Planet,FromDate,ToDate,Direction,D1
Shani,29-Apr-71,11-Jun-73,F,2
Shani,12-Jun-73,24-Jul-75,F,3
Shani,25-Jul-75,07-Sep-77,F,4
Shani,08-Sep-77,04-Nov-79,F,5
Shani,05-Nov-79,16-Mar-80,F,6
Shani,17-Mar-80,27-Jul-80,R,5
Shani,28-Jul-80,06-Oct-82,F,6
Shani,07-Oct-82,22-Dec-84,F,7
Shani,23-Dec-84,01-Jun-85,F,8
Shani,02-Jun-85,17-Sep-85,R,7
Shani,18-Sep-85,17-Dec-87,F,8
Shani,18-Dec-87,21-Mar-90,F,9
Shani,22-Mar-90,21-Jun-90,F,10
Shani,22-Jun-90,15-Dec-90,R,9
Shani,16-Dec-90,06-Mar-93,F,10
Shani,07-Mar-93,17-Oct-93,F,11
Shani,18-Oct-93,09-Nov-93,R,10
Shani,10-Nov-93,02-Jun-95,F,11
Shani,03-Jun-95,11-Aug-95,F,12
Shani,12-Aug-95,17-Feb-96,R,11
Shani,18-Feb-96,18-Apr-98,F,12
Shani,19-Apr-98,07-Jun-00,F,1
Shani,08-Jun-00,23-Jul-02,F,2
Shani,24-Jul-02,08-Jan-03,F,3
Shani,09-Jan-03,08-Apr-03,R,2
Shani,09-Apr-03,06-Sep-04,F,3
Shani,07-Sep-04,14-Jan-05,F,4
Shani,15-Jan-05,26-May-05,R,3
Shani,27-May-05,01-Nov-06,F,4
Shani,02-Nov-06,11-Jan-07,F,5
Shani,12-Jan-07,16-Jul-07,R,4
Shani,17-Jul-07,10-Sep-09,F,5
Shani,11-Sep-09,15-Nov-11,F,6
Shani,16-Nov-11,16-May-12,F,7
Shani,17-May-12,04-Aug-12,R,6
Shani,05-Aug-12,03-Nov-14,F,7
Shani,04-Nov-14,27-Jan-17,F,8
Shani,28-Jan-17,21-Jun-17,F,9
Shani,22-Jun-17,27-Oct-17,R,8
Shani,28-Oct-17,24-Jan-20,F,9
Shani,25-Jan-20,29-Apr-22,F,10
Shani,30-Apr-22,13-Jul-22,F,11
Shani,14-Jul-22,18-Jan-23,R,10
Shani,19-Jan-23,30-Mar-25,F,11
Shani,31-Mar-25,03-Jun-27,F,12
Shani,04-Jun-27,20-Oct-27,F,1
Shani,21-Oct-27,24-Feb-28,R,12
Shani,25-Feb-28,09-Aug-29,F,1
Shani,10-Aug-29,05-Oct-29,F,2
Shani,06-Oct-29,18-Apr-30,R,1
Shani,19-Apr-30,31-May-32,F,2
Shani,01-Jun-32,13-Jul-34,F,3
Shani,14-Jul-34,28-Aug-36,F,4
Shani,29-Aug-36,23-Oct-38,F,5
Shani,24-Oct-38,06-Apr-39,F,6
